n,x,y,radius
1.790000000000000000e+02,-8.784088177308616574e-01,-4.564540354214404183e-01,9.899254201806557685e-01
1.800000000000000000e+02,-9.012315195019336977e-01,-4.113924594463437279e-01,9.906876437268590241e-01
1.810000000000000000e+02,-9.218011424742509341e-01,-3.653024023226311701e-01,9.915458594586131769e-01
1.820000000000000000e+02,-9.400662625903825065e-01,-3.182990891931120614e-01,9.924912534837849742e-01
1.830000000000000000e+02,-9.559812170500381345e-01,-2.705000283406101547e-01,9.935141431729811456e-01
1.840000000000000000e+02,-9.695062184670686367e-01,-2.220247174172567117e-01,9.946040834374891837e-01
1.850000000000000000e+02,-9.806074543379315056e-01,-1.729943447003601253e-01,9.957499800659930234e-01
1.860000000000000000e+02,-9.892571715729494564e-01,-1.235314861217126498e-01,9.969402086243441818e-01
1.870000000000000000e+02,-9.954337458790351034e-01,-7.375979882776088903e-02,9.981627374120309870e-01
1.880000000000000000e+02,-9.991217358204231846e-01,-2.380371203673972702e-02,9.994052529857663236e-01
1.890000000000000000e+02,-1.000311921422260220e+00,2.621188403437328673e-02,1.000655286801666488e+00
1.900000000000000000e+02,-9.990013272205415795e-01,7.616195039540037126e-02,1.001900341589139654e+00
1.910000000000000000e+02,-9.951932297007715089e-01,1.259216118804389328e-01,1.003128016147899482e+00
1.920000000000000000e+02,-9.888971491067495290e-01,1.753664693357764037e-01,1.004326127350450237e+00
1.930000000000000000e+02,-9.801288256399607324e-01,2.243729106177744514e-01,1.005482828232019399e+00
1.940000000000000000e+02,-9.689101801090720389e-01,2.728184196232280589e-01,1.006586721154571151e+00
1.950000000000000000e+02,-9.552692591279106082e-01,3.205818825796236116e-01,1.007626965137933706e+00
1.960000000000000000e+02,-9.392401649989294832e-01,3.675438908295700635e-01,1.008593376556357946e+00
1.970000000000000000e+02,-9.208629704574510244e-01,4.135870393524426203e-01,1.009476522500666773e+00
1.980000000000000000e+02,-9.001836184898288629e-01,4.585962202769340856e-01,1.010267806202757468e+00
1.990000000000000000e+02,-8.772538074759821392e-01,5.024589106507332259e-01,1.010959544009268907e+00
2.000000000000000000e+02,-8.521308619434454501e-01,5.450654537479054929e-01,1.011545033473986832e+00
2.010000000000000000e+02,-8.248775892560501477e-01,5.863093332107079947e-01,1.012018612213657853e+00
2.020000000000000000e+02,-7.955621225955147313e-01,6.260874393404837202e-01,1.012375707239463907e+00
2.030000000000000000e+02,-7.642577506284905509e-01,6.643003268719082088e-01,1.012612874536880536e+00
2.040000000000000000e+02,-7.310427342848951904e-01,7.008524635861529406e-01,1.012727828720785039e+00
2.050000000000000000e+02,-6.960001111055875711e-01,7.356524691414323414e-01,1.012719462641493928e+00
2.060000000000000000e+02,-6.592174876485159540e-01,7.686133435238581280e-01,1.012587856862082747e+00
2.070000000000000000e+02,-6.207868204723230310e-01,7.996526845474742906e-01,1.012334278969214241e+00
2.080000000000000000e+02,-5.808041862449493387e-01,8.286928938597217797e-01,1.011961172720207580e+00
2.090000000000000000e+02,-5.393695415519632608e-01,8.556613709373199761e-01,1.011472137069681532e+00
2.100000000000000000e+02,-4.965864730050972842e-01,8.804906945875747848e-01,1.010871895161277179e+00
2.110000000000000000e+02,-4.525619382757185560e-01,9.031187915013607626e-01,1.010166253415126558e+00
2.120000000000000000e+02,-4.074059987006505290e-01,9.234890914363932390e-01,1.009362050891200013e+00
2.130000000000000000e+02,-3.612315441288308504e-01,9.415506686428347649e-01,1.008467099163611103e+00
2.140000000000000000e+02,-3.141540106966891344e-01,9.572583691776692660e-01,1.007490113002359022e+00
2.150000000000000000e+02,-2.662910922378056711e-01,9.705729237895595052e-01,1.006440632227563414e+00
2.160000000000000000e+02,-2.177624460483277014e-01,9.814610460919759305e-01,1.005328935177390859e+00
2.170000000000000000e+02,-1.686893937437289048e-01,9.898955157791623494e-01,1.004165944314644010e+00
2.180000000000000000e+02,-1.191946179547707929e-01,9.958552466769008404e-01,1.002963124587985311e+00
2.190000000000000000e+02,-6.940185562092573979e-02,9.993253394579471038e-01,1.001732375261161767e+00
2.200000000000000000e+02,-1.943558864802838460e-02,1.000297118890348447e+00,1.000485916026021327e+00
2.210000000000000000e+02,3.057926729648904191e-02,9.987681555255240040e-01,9.992361683207066081e-01
2.220000000000000000e+02,8.051767507276524904e-02,9.947422717718857887e-01,9.979956328807334520e-01
2.230000000000000000e+02,1.302547886613595329e-01,9.882295323388178288e-01,9.967767646548619798e-01
2.240000000000000000e+02,1.796662652783004299e-01,9.792462190749028350e-01,9.955918463163231369e-01
2.250000000000000000e+02,2.286285762320455772e-01,9.678147902633005284e-01,9.944528616894260376e-01
2.260000000000000000e+02,2.770193157452106036e-01,9.539638244760400010e-01,9.933713704878440742e-01
2.270000000000000000e+02,3.247175069690125815e-01,9.377279491275893886e-01,9.923583858199644947e-01
2.280000000000000000e+02,3.716039044253920398e-01,9.191477539063197533e-01,9.914242559546485589e-01
2.290000000000000000e+02,4.175612921207080275e-01,8.982696893002843908e-01,9.905785518539883538e-01
2.300000000000000000e+02,4.624747765857222248e-01,8.751459504709983017e-01,9.898299619650845482e-01
2.310000000000000000e+02,5.062320741092721788e-01,8.498343467655347094e-01,9.891861957181664611e-01
2.320000000000000000e+02,5.487237914475489031e-01,8.223981571931572310e-01,9.886538971021527900e-01
2.330000000000000000e+02,5.898436993072068146e-01,7.929059722277969069e-01,9.882385695807053283e-01
2.340000000000000000e+02,6.294889979185966933e-01,7.614315223318670611e-01,9.879445134728891409e-01
2.350000000000000000e+02,6.675605740351900907e-01,7.280534936301075177e-01,9.877747767549024394e-01
2.360000000000000000e+02,7.039632487166954666e-01,6.928553311942727833e-01,9.877311200463866347e-01
2.370000000000000000e+02,7.386060152764091224e-01,6.559250304304523604e-01,9.878139963311336480e-01
2.380000000000000000e+02,7.714022667979317793e-01,6.173549170905557881e-01,9.880225457330792382e-01
2.390000000000000000e+02,8.022700126524595632e-01,5.772414164579328100e-01,9.883546054305297757e-01
2.400000000000000000e+02,8.311320834753561648e-01,5.356848122841649795e-01,9.888067345513013029e-01
2.410000000000000000e+02,8.579163240895644194e-01,4.927889960796867364e-01,9.893742536556002776e-01
2.420000000000000000e+02,8.825557738935487784e-01,4.486612073850093085e-01,9.900512981886419039e-01
2.430000000000000000e+02,9.049888342627991911e-01,4.034117656718693157e-01,9.908308850771837539e-01
2.440000000000000000e+02,9.251594225463926069e-01,3.571537945445496520e-01,9.917049914586217874e-01
2.450000000000000000e+02,9.430171122736200617e-01,3.100029389308686656e-01,9.926646443722336732e-01
2.460000000000000000e+02,9.585172592201635089e-01,2.620770759698605179e-01,9.937000201126324761e-01
2.470000000000000000e+02,9.716211130186565015e-01,2.134960203189276984e-01,9.948005518472698983e-01
2.480000000000000000e+02,9.822959140346029239e-01,1.643812246171975633e-01,9.959550440334772325e-01
2.490000000000000000e+02,9.905149752654628381e-01,1.148554758539244158e-01,9.971517921353658664e-01
2.500000000000000000e+02,9.962577490581590034e-01,6.504258840101645456e-02,9.983787061352690229e-01
2.510000000000000000e+02,9.995098784782098233e-01,1.506709447710596200e-02,9.996234363556648628e-01
2.520000000000000000e+02,1.000263233202065116e+00,-3.494606718299729520e-02,1.000873500152445583e+00
2.530000000000000000e+02,9.985159298429152619e-01,-8.487186367514305829e-02,1.002116408105242940e+00
2.540000000000000000e+02,9.942723366591581513e-01,-1.345854805081009853e-01,1.003339788411313105e+00
2.550000000000000000e+02,9.875430626337531326e-01,-1.839626336397886530e-01,1.004531508282214158e+00
2.560000000000000000e+02,9.783449309517636694e-01,-2.328798801873768476e-01,1.005679791243265564e+00
2.570000000000000000e+02,9.667009369423947840e-01,-2.812149270344965757e-01,1.006773329340979739e+00
2.580000000000000000e+02,9.526401905906699552e-01,-3.288469365640300790e-01,1.007801389370036160e+00
2.590000000000000000e+02,9.361978437624685068e-01,-3.756568287521535043e-01,1.008753912336215031e+00
2.600000000000000000e+02,9.174150023248608399e-01,-4.215275788683965352e-01,1.009621605472751593e+00
2.610000000000000000e+02,8.963386233814409909e-01,-4.663445100374685737e-01,1.010396026223095989e+00
2.620000000000000000e+02,8.730213978795675622e-01,-5.099955799314469518e-01,1.011069657691895829e+00
2.630000000000000000e+02,8.475216188829952646e-01,-5.523716608755967483e-01,1.011635975147443300e+00
2.640000000000000000e+02,8.199030358392154216e-01,-5.933668126675575305e-01,1.012089503232603382e+00
